Rack	Pos	PopID	Mom	Indiv	Trt	Origin	Wilt	TotWilt	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	ID
TR005.20.h	5	11	TR005	20	h	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	2	36	33	84			TR005.20.h
US012.31.d	5	13	US012	31	d	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US012.31.d
TR004.27.d	5	14	TR004	27	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR004.27.d
US014.17.g	5	15	US014	17	g	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.17.g
GR001.24.b	5	17	GR001	24	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR001.24.b
GR002.25.i	5	19	GR002	25	i	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR002.25.i
RU008.16.f	5	22	RU008	16	f	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.16.f
RU004.5.a	5	23	RU004	5	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU004.5.a
GR003.12.c	5	25	GR003	12	c	control	nat	NA	NA	NA	NA	NA		38	NA	NA	NA	NA	38	2	36.6	36	69	2	36.5	36	NA			GR003.12.c
TR001.10.e	5	27	TR001	10	e	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.10.e
RO005.23.j	5	28	RO005	23	j	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.23.j
RO003.15.c	5	29	RO003	15	c	control	nat	NA	NA	NA	NA	NA		18	18	1	4.2	NA	38	1	35	NA	69	1	40.5		NA			RO003.15.c
UA005.18.c	5	31	UA005	18	c	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	12.5		NA			UA005.18.c
US020.42.a	5	32	US020	42	a	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US020.42.a
UA003.8.h	5	33	UA003	8	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.8.h
US022.31.b	5	34	US022	31	b	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US022.31.b
CA008.5.j	5	35	CA008	5	j	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.5.j
RU001.10.g	5	38	RU001	10	g	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.10.g
RO004.12.j	5	39	RO004	12	j	control	nat	NA	NA	NA	NA	NA		18	18	1	6.7	NA	38	1	36.5	NA	69	1	36.5		84	white		RO004.12.j
BG001.16.f	5	40	BG001	16	f	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			BG001.16.f
US002.17.i	5	41	US002	17	i	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.17.i
