PopID	Rack	Pos	Mom	Indiv	Origin	Trt	Wilt	TotWilt	Death	Note	ID	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	Latitude	Longitude	lxw
106	RU008	48	27	17	h	nat	drought	5	8	14		RU008.17.h	12	13.8	3.6	3.46410161513775	2.62466859216316	1.28093384546206	44.05	43.06000278	49.68
107	RU008	17	50	19	c	nat	drought	2	4	7		RU008.19.c	12	10.1	2.5	3.46410161513775	2.31253542384721	0.916290731874155	44.05	43.06000278	25.25
108	TR001	46	22	24	g	nat	drought	5	7	13		TR001.24.g	9	17.5	3.7	3	2.86220088092947	1.30833281965018	41.7511111111111	27.2477777777778	64.75
109	TR001	17	43	10	i	nat	drought	1	4	15		TR001.10.i	7	18.6	4.3	2.64575131106459	2.92316158071916	1.45861502269952	41.7511111111111	27.2477777777778	79.98
110	TR001	1	28	19	b	nat	drought	5	7	12		TR001.19.b	8	12.5	2.7	2.82842712474619	2.52572864430826	0.993251773010283	41.7511111111111	27.2477777777778	33.75
111	TR001	19	14	24	b	nat	drought	5	8	16		TR001.24.b	6	15.8	2.7	2.44948974278318	2.76000994003292	0.993251773010283	41.7511111111111	27.2477777777778	42.66
112	TR001	37	29	12	j	nat	drought	1	4	12		TR001.12.j	12	18	4.5	3.46410161513775	2.89037175789616	1.50407739677627	41.7511111111111	27.2477777777778	81
113	TR001	50	44	24	j	nat	drought	5	8	13		TR001.24.j	8	13	2.3	2.82842712474619	2.56494935746154	0.832909122935104	41.7511111111111	27.2477777777778	29.9
114	TR001	48	5	24	f	nat	drought	6	10	14		TR001.24.f	8	14	3.1	2.82842712474619	2.63905732961526	1.1314021114911	41.7511111111111	27.2477777777778	43.4
115	TR003	17	13	15	f	nat	drought	5	8	15		TR003.15.f	9	18.5	2.8	3	2.91777073208428	1.02961941718116	38.7672222222222	37.0038888888889	51.8
116	TR003	19	35	24	a	nat	drought	7	10	20		TR003.24.a	7	7.6	2.6	2.64575131106459	2.02814824729229	0.955511445027436	38.7672222222222	37.0038888888889	19.76
117	TR003	46	24	14	a	nat	drought	11	14	20		TR003.14.a	8	8.3	1.6	2.82842712474619	2.11625551480255	0.470003629245736	38.7672222222222	37.0038888888889	13.28
118	TR003	37	38	15	a	nat	drought	5	8	18		TR003.15.a	7	18.5	4.5	2.64575131106459	2.91777073208428	1.50407739677627	38.7672222222222	37.0038888888889	83.25
119	TR003	50	2	15	b	nat	drought	10	11	21		TR003.15.b	8	11.1	2.1	2.82842712474619	2.40694510831829	0.741937344729377	38.7672222222222	37.0038888888889	23.31
120	TR004	48	14	8	c	nat	drought	3	4	14		TR004.8.c	10	17	5	3.16227766016838	2.83321334405622	1.6094379124341	38.3672222222222	42.7736111111111	85
121	TR004	50	24	14	g	nat	drought	5	7	16		TR004.14.g	10	14.2	3.7	3.16227766016838	2.65324196460721	1.30833281965018	38.3672222222222	42.7736111111111	52.54
122	TR004	1	32	18	i	nat	drought	3	4	16		TR004.18.i	10	13.8	3.3	3.16227766016838	2.62466859216316	1.19392246847243	38.3672222222222	42.7736111111111	45.54
123	TR004	37	19	18	c	nat	drought	4	7	17		TR004.18.c	8	13.5	4	2.82842712474619	2.60268968544438	1.38629436111989	38.3672222222222	42.7736111111111	54
124	TR005	37	33	20	f	nat	drought	3	7	16		TR005.20.f	NA	NA	NA	NA	NA	NA	39.7825	41.0736111111111	NA
125	TR005	1	31	20	b	nat	drought	3	5	13		TR005.20.b	9	14.5	4.5	3	2.67414864942653	1.50407739677627	39.7825	41.0736111111111	65.25
126	TR005	50	27	18	l	nat	drought	3	6	19		TR005.18.l	15	11.7	2.2	3.87298334620742	2.45958884180371	0.78845736036427	39.7825	41.0736111111111	25.74
127	TR005	48	11	18	i	nat	drought	5	8	20		TR005.18.i	8	9.6	1.8	2.82842712474619	2.26176309847379	0.587786664902119	39.7825	41.0736111111111	17.28
128	TR005	17	45	18	n	nat	drought	5	7	16		TR005.18.n	7	7.9	2	2.64575131106459	2.06686275947298	0.693147180559945	39.7825	41.0736111111111	15.8
129	UA001	17	22	11	b	nat	drought	5	6	13		UA001.11.b	10	11.7	3.4	3.16227766016838	2.45958884180371	1.22377543162212	48.1006666666667	37.8161111111111	39.78
130	UA001	46	3	25	d	nat	drought	4	6	12		UA001.25.d	NA	NA	NA	NA	NA	NA	48.1006666666667	37.8161111111111	NA
131	UA001	19	39	18	g	nat	drought	3	5	12		UA001.18.g	11	14	4.6	3.3166247903554	2.63905732961526	1.52605630349505	48.1006666666667	37.8161111111111	64.4
132	UA002	37	28	14	c	nat	drought	4	6	12		UA002.14.c	9	16	4.5	3	2.77258872223978	1.50407739677627	48.1523333333333	37.8405833333333	72
133	UA002	19	26	18	b	nat	drought	3	4	12		UA002.18.b	10	17.4	4.2	3.16227766016838	2.85647020622048	1.43508452528932	48.1523333333333	37.8405833333333	73.08
134	UA002	48	8	15	c	nat	drought	4	6	13		UA002.14.a	13	16.5	4.2	3.60555127546399	2.80336038090653	1.43508452528932	48.1523333333333	37.8405833333333	69.3
135	UA002	1	21	15	i	nat	drought	2	3	12		UA002.15.i	10	15.4	4.7	3.16227766016838	2.73436750941958	1.54756250871601	48.1523333333333	37.8405833333333	72.38
136	UA002	17	15	14	b	nat	drought	1	3	8		UA002.14.b	13	15.7	3.6	3.60555127546399	2.75366071235426	1.28093384546206	48.1523333333333	37.8405833333333	56.52
137	UA003	50	22	7A	g	nat	drought	5	6	13		UA003.7A.g	13	15.7	4.7	3.60555127546399	2.75366071235426	1.54756250871601	50.48075	30.4863055555556	73.79
138	UA003	1	16	6	i	nat	drought	4	6	13		UA003.6.i	10	13.9	4.2	3.16227766016838	2.63188884013665	1.43508452528932	50.48075	30.4863055555556	58.38
139	UA003	17	39	8	f	nat	drought	8	10	13		UA003.8.f	7	12.9	1.6	2.64575131106459	2.55722731136763	0.470003629245736	50.48075	30.4863055555556	20.64
140	UA003	37	44	6	a	nat	drought	3	5	14		UA003.6.a	11	11.5	2	3.3166247903554	2.4423470353692	0.693147180559945	50.48075	30.4863055555556	23
141	UA003	19	16	7A	b	nat	drought	3	5	14		UA003.7A.b	11	15.5	4.2	3.3166247903554	2.7408400239252	1.43508452528932	50.48075	30.4863055555556	65.1
142	UA003	46	44	6	b	nat	drought	1	3	4		UA003.6.b	12	15.6	3.6	3.46410161513775	2.74727091425549	1.28093384546206	50.48075	30.4863055555556	56.16
143	UA003	48	4	7A	j	nat	drought	3	4	12		UA003.7A.j	9	17.7	6.1	3	2.87356463957978	1.80828877117927	50.48075	30.4863055555556	107.97
144	UA004	50	26	5	h	nat	drought	2	6	12		UA004.5.h	13	16.4	2.2	3.60555127546399	2.79728133483015	0.78845736036427	48.6460277777778	30.7750833333333	36.08
145	UA004	19	11	7	c	nat	drought	1	4	12		UA004.7.c	13	13.8	4.6	3.60555127546399	2.62466859216316	1.52605630349505	48.6460277777778	30.7750833333333	63.48
146	UA004	1	9	15	i	nat	drought	4	6	12		UA004.15.i	11	14.3	3.2	3.3166247903554	2.66025953726586	1.16315080980568	48.6460277777778	30.7750833333333	45.76
147	UA004	46	14	18	g	nat	drought	4	7	12		UA004.18.g	11	15	4.2	3.3166247903554	2.70805020110221	1.43508452528932	48.6460277777778	30.7750833333333	63
148	UA004	17	38	27	d	nat	drought	1	3	11		UA004.27.d	18	14.6	3.2	4.24264068711928	2.68102152871429	1.16315080980568	48.6460277777778	30.7750833333333	46.72
149	UA004	48	7	7	b	nat	drought	2	5	11		UA004.7.b	15	17.4	6	3.87298334620742	2.85647020622048	1.79175946922805	48.6460277777778	30.7750833333333	104.4
150	UA004	37	39	27	a	nat	drought	3	4	8		UA004.27.a	13	15.5	3.5	3.60555127546399	2.7408400239252	1.25276296849537	48.6460277777778	30.7750833333333	54.25
151	UA005	50	12	3	a	nat	drought	5	8	11		UA005.3.a	9	15.6	2.7	3	2.74727091425549	0.993251773010283	47.862	38.4606944444444	42.12
152	UA005	46	40	13	a	nat	drought	2	4	9		UA005.13.a	10	17.5	3.2	3.16227766016838	2.86220088092947	1.16315080980568	47.862	38.4606944444444	56
153	UA005	37	46	18	f	nat	drought	3	4	11		UA005.18.f	12	18.5	3	3.46410161513775	2.91777073208428	1.09861228866811	47.862	38.4606944444444	55.5
154	UA005	19	38	7	c	nat	drought	1	4	7		UA005.7.c	9	16	4.5	3	2.77258872223978	1.50407739677627	47.862	38.4606944444444	72
155	UA006	1	29	14	k	nat	drought	4	8	12		UA006.14.k	8	17.3	3.5	2.82842712474619	2.85070650150373	1.25276296849537	45.7083333333333	33.3497222222222	60.55
156	UA006	17	11	24	a	nat	drought	3	6	12		UA006.24.a	9	13.4	2.2	3	2.59525470695687	0.78845736036427	45.7083333333333	33.3497222222222	29.48
157	UA006	50	49	10	e	nat	drought	3	7	14		UA006.10.e	NA	NA	NA	NA	NA	NA	45.7083333333333	33.3497222222222	NA
158	UA008	37	14	13	f	nat	drought	5	9	12		UA008.13.f	7	11	3.5	2.64575131106459	2.39789527279837	1.25276296849537	46.7572222222222	32.7661111111111	38.5
159	UA008	19	4	18	g	nat	drought	6	8	15		UA008.18.g	6	11	2.1	2.44948974278318	2.39789527279837	0.741937344729377	46.7572222222222	32.7661111111111	23.1
160	UA008	46	42	25	d	nat	drought	5	9	12		UA008.25.d	NA	NA	NA	NA	NA	NA	46.7572222222222	32.7661111111111	NA
161	US001	37	12	14	e	inv	drought	2	5	11		US001.14.e	11	13.5	4	3.3166247903554	2.60268968544438	1.38629436111989	45.6152333333333	-120.787533333333	54
162	US001	17	41	22	f	inv	drought	1	3	7		US001.22.f	10	13.7	2.7	3.16227766016838	2.61739583283408	0.993251773010283	45.6152333333333	-120.787533333333	36.99
