ID	Rack	Pos	PopID	Mom	Indiv	Origin	Treat	MsrDay	MsrDate	LfCount	MaxLfLgth	MaxLfWdth	Bolted	BoltCount	MaxBoltHt	BoltHt1	BoltHt2	BoltHt3	BoltHt4	BoltHt5	BoltHt6	BoltHt7	FlrHeadCount	Notes	HarvestDay	HarvestDate	CrownDiam.mm	ShootMass.g	RootMass.g	BiomassNotes			
GR003.9.h	7	9	GR003	9	h	nat	cont	86	9-Dec-09	17	27.9	5.5	n												86	9-Dec-09	7.05	4.58	1.355				
GR003.9.i	20	41	GR003	9	i	nat	nut def	80	3-Dec-09	15	22.1	4.9	n												80	3-Dec-09	6.44	1.373	2.869				
HU001.13.b	41	36	HU001	13	b	nat	cut	76	29-Nov-09	22			n												76	29-Nov-09	7.43		1.303				
HU001.13.e	20	49	HU001	13	e	nat	nut def	80	3-Dec-09	16	15.9	4.1	n												80	3-Dec-09	6.06	1.336	1.197				
HU001.13.h	F1	40	HU001	13	h	nat	flood	71	24-Nov-09	12	20.6	8.3	y	1	42	42							0		91	14-Dec-09	6.25	4.103	1.247				
HU001.13.j	F1	46	HU001	13	j	nat	flood	71	24-Nov-09	15	17.5	5.5	n												91	14-Dec-09	7.56	1.295	0.946				
HU001.14.b	34	40	HU001	14	b	nat	cont	84	7-Dec-09	20	22.4	7.3	n												84	7-Dec-09	6.65	3.239	1.562				
HU001.14.c	27	50	HU001	14	c	nat	nut def	80	3-Dec-09	17	16.8	4.2	n												82	5-Dec-09	4.82	1.292	3.531				
HU001.14.d	33	44	HU001	14	d	nat	cut	76	29-Nov-09	40			n												76	29-Nov-09	6.63		1.712				
HU001.14.f	2	2	HU001	14	f	nat	nut def	78	1-Dec-09	18	14.3	5	n												78	1-Dec-09	4.86	1.21	2.114				
HU001.14.h	16	39	HU001	14	h	nat	cut	77	30-Nov-09	30			n												77	30-Nov-09	7.45		1.873				
HU001.14.k	11	9	HU001	14	k	nat	cut	77	30-Nov-09	41			n												77	30-Nov-09	7.01		1.245				
HU001.24.a	38	35	HU001	24	a	nat	cut	76	29-Nov-09	14			y	1	36.5	36.5							2		76	29-Nov-09	7.57		0.707				
HU001.24.b	40	28	HU001	24	b	nat	cont	84	7-Dec-09	19	30	6.4	y	1	22	22							0		84	7-Dec-09	9.59	5.26	2.569				
HU001.24.f	10	45	HU001	24	f	nat	cut	76	29-Nov-09	26			n												76	29-Nov-09	7.12		1.393				
HU001.24.h	7	27	HU001	24	h	nat	cont	86	9-Dec-09	13	21.6	5.7	y	1	44.5	44.5							7		86	9-Dec-09	9.16	5.746	4.165				
HU001.24.i	30	18	HU001	24	i	nat	cont	86	9-Dec-09	0			y	1	64.5	64.5							32		86	9-Dec-09	7.93	5.533	1.188				
