ID	1stWilt	TotWilt	1stYellow	Death	FloatDate	1stBoltDate	BoltMsrDate	Bolt1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	Bolt2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	Bolt3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor
RU004.5.a																				
RU004.7.c																				
RU004.6.a																				
RU004.5.b																				
RU004.7.e																				
RU004.9.a																				
RU004.8.a																				
RU004.6.b																				
RU004.7.d																				
RU004.7.f	1	3		8																
RU004.10.c	3	8		13																
RU004.5.c	5	6		16																
RU004.8.c			6																	
RU004.7.a			5																	
RU004.6.c																				
RU004.8.b			14																	
RU004.6.d			14																	
RU004.10.b			15																	
RU004.10.a			14																	
RU005.11.b																				
RU005.5.b																				
RU005.7.c						69									69	1	10			
RU005.11.a																				
RU005.6.e																				
RU005.5.a																				
RU005.11.e																				
RU005.6.d																				
RU005.5.g																				
RU005.3.b	1	3		6																
RU005.3.c	4	7		16																
RU005.11.c	4	5		12																
RU005.6.h	3	4		12																
RU005.5.c			6	29	24															
RU005.5.f			6	21	20															
RU005.6.c			6	16																
RU005.3.a			6	36	20															
RU005.6.a			14																	
RU005.6.f			15																	
RU005.6.b			14																	
RU005.7.e			15																	
RU005.7.d			14																	
RU005.11.d			14																	
RU007.20.C			9	19																
RU008.16.f																				
RU008.18.i																				
RU008.19.d																				
RU008.17.c																				
RU008.18.d																				
RU008.18.f																				
RU008.21.f																				
RU008.18.h																				
RU008.16.a																				
RU008.16.b						38					38	1	12		69	1	39.5		84	white
RU008.21.g																				
RU008.21.e																				
RU008.19.g																				
RU008.18.a																				
RU008.17.g			15																	
RU008.19.k																				
RU008.21.d						69									69	1	8.5			
RU008.18.c																				
RU008.19.b																				
RU008.21.i																				
RU008.19.h																				
RU008.21.a	2	4		12																
RU008.19.c	2	4		7																
RU008.18.j	2	4		10																
RU008.16.g	3	6		11																
RU008.19.f	3	5		12																
RU008.17.h	5	8		14																
RU008.16.h	4	6		12																
RU008.19.a			7	14																
RU008.17.a			8	15																
RU008.21.b			6	17	13															
RU008.16.e			6	15																
RU008.18.b			6	21																
RU008.18.g			6	14																
RU008.21.c			6	16																
RU008.17.d			15																	
RU008.16.i			14																	
RU008.16.c			15																	
RU008.17.i			15																	
RU008.19.i			14																	
RU008.18.e			16																	
RU008.21.h			14																	
TR001.10.e																				
TR001.19.f						69									69	1	12.5			
TR001.10.j																				
TR001.24.d																				
TR001.1.d																				
TR001.12.g																				
TR001.1.h																				
TR001.12.d																				
TR001.24.c																				
TR001.19.h						18	18	1	3.5		38	1	13.4		69	1	41.5			
TR001.10.b																				
TR001.12.f																				
TR001.10.f						11					39	1	40.1		69	6	41.5	"22,21,20,18,7"	50	white
TR001.12.i																				
TR001.19.a																				
TR001.19.c						29					38	1	21.1		69	1	21.1			
TR001.10.h																				
TR001.24.i																				
TR001.12.c			15																	
TR001.12.a						53					53	1	40		69	1	40			
TR001.19.i						18	18	1	15.5		39	1	33.7		69	1	40.5		63	white
TR001.19.b	5	7		12																
TR001.10.i	1	4		15																
TR001.24.b	5	8		16																
TR001.12.j	1	4		12																
TR001.24.g	5	7		13																
TR001.24.f	6	10		14																
TR001.24.j	5	8		13																
TR001.19.g			6	19																
TR001.1.c			5	20																
TR001.1.a			7	21																
TR001.1.e			7	19																
TR001.12.h			6																	
TR001.10.g			6	17																
TR001.1.j			6	14																
TR001.1.f			14																	
TR001.10.c			15																	
TR001.12.e			15																	
TR001.1.b			15																	
TR001.10.d			15																	
TR001.1.g			15																	
TR001.10.a			14																	
TR003.15.e						38					38	1	20.6		69	2	36.5	21		purple
TR003.24.g																				
TR003.15.h																				
TR003.14.b						69									69	1	24			
TR003.14.d																				
TR003.2.b																				
TR003.24.c																				
TR003.2.e						29					39	2	36.3	36	69	5	36.5	"36,20.5,16,7"	53	purple
TR003.2.f																				
TR003.24.b																				
TR003.6.a			15																	
TR003.2.a																				
TR003.14.c																				
TR003.15.f	5	8		15																
TR003.24.a	7	10		20																
TR003.15.a	5	8		18																
TR003.14.a	11	14		20																
TR003.15.b	10	11		21																
TR003.24.d			9																	
TR003.2.g			8	17	12															
TR003.6.c			8	13	12															
TR003.6.d			14																	
TR003.24.f			15																	
TR003.24.i			15																	
TR003.24.e			16																	
TR003.6.b			16																	
TR003.15.c			15																	
TR004.27.d																				
TR004.14.d						29					38	1	54.9		69	1	68		63	purple
TR004.27.b																				
TR004.8.e																				
TR004.18.d						69									69	1	7			
TR004.18.a						69									69	2	32.5	22		
TR004.8.g						69									69	1	7			
TR004.18.e																				
TR004.27.g																				
TR004.14.h			15																	
TR004.14.e						69									69	1	4.5			
TR004.2.b																				
TR004.18.g																				
TR004.14.i																				
TR004.8.i			15																	
TR004.18.b																				
TR004.18.i	3	4		16																
TR004.18.c	4	7		17																
TR004.8.c	3	4		14																
TR004.14.g	5	7		16																
TR004.27.e			8	11	11															
TR004.8.a			7																	
