Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log
GR002.17.c	13	50	GR002	17	c	nat	nut def	GR002.17.c	78	18	15.6	3.6	n	78	5.62	0.986	2.809	19	15.9	2	y	NA	12	10.6	1.4	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.36085400111802	0.336472236621213	4.35889894354067	2.76631910922619	0.693147180559945	4.24264068711928	2.74727091425549	1.28093384546206	1.7263316639056	-0.0140989243795016	1.03282854812211
US001.14.f	2	1	US001	14	f	inv	nut def	US001.14.f	78	15	15.9	3.7	n	78	6.39	1.119	2.541	15	16.4	3.5	y	NA	13	13.2	3.4	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.60555127546399	2.58021682959233	1.22377543162212	3.87298334620742	2.79728133483015	1.25276296849537	3.87298334620742	2.76631910922619	1.30833281965018	1.85473426838944	0.112435429329788	0.932557704338027
HU001.14.f	2	2	HU001	14	f	nat	nut def	HU001.14.f	78	18	14.3	5	n	78	4.86	1.21	2.114	18	16	5.1	y	NA	14	15.9	4.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.74165738677394	2.76631910922619	1.58923520511658	4.24264068711928	2.77258872223978	1.62924053973028	4.24264068711928	2.66025953726586	1.6094379124341	1.5810384379124	0.19062035960865	0.748581887448046
US018.11.f	2	3	US018	11	f	inv	nut def	US018.11.f	78	13	14.1	3	n	78	6.5	0.867	2.261	14	15.1	3.3	y	NA	10	11.9	2.4	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.47653840011748	0.8754687373539	3.74165738677394	2.71469474382088	1.19392246847243	3.60555127546399	2.64617479738412	1.09861228866811	1.87180217690159	-0.142716302201595	0.815807193295833
UA002.13.c	2	4	UA002	13	c	nat	nut def	UA002.13.c	78	18	14.4	4.5	n	78	6.51	1.23	2.379	16	13.4	4.6	y	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	4	2.59525470695687	1.52605630349505	4.24264068711928	2.66722820658195	1.50407739677627	1.87333945622048	0.207014169384326	0.866680231320821
US013.14.a	2	6	US013	14	a	inv	nut def	US013.14.a	78	9	16.6	5.1	n	78	6.02	1.16	2.366	11	13.8	6.2	y	NA	10	12.6	3.7	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.53369681395743	1.30833281965018	3.3166247903554	2.62466859216316	1.82454929205105	3	2.8094026953625	1.62924053973028	1.79508725932073	0.148420005118273	0.861200765556195
CA008.6.g	2	7	CA008	6	g	inv	nut def	CA008.6.g	78	15	19.2	3.9	n	78	5.03	1.13	2.148	13	18.4	6.2	y	NA	10	12.6	2.5	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.53369681395743	0.916290731874155	3.60555127546399	2.91235066461494	1.82454929205105	3.87298334620742	2.95491027903374	1.3609765531356	1.61541998411165	0.122217632724249	0.764537176646618
TR005.9.c	2	9	TR005	9	c	nat	nut def	TR005.9.c	78	7	17.3	3.7	n	78	5.26	0.67	0.789	11	13.2	4.6	y	NA	9	12.5	3.9	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.52572864430826	1.3609765531356	3.3166247903554	2.58021682959233	1.52605630349505	2.64575131106459	2.85070650150373	1.30833281965018	1.66013102674962	-0.400477566597125	-0.236988958136263
RO005.14.g	2	10	RO005	14	g	nat	nut def	RO005.14.g	78	18	14	4.3	n	78	9.16	1.119	2.511	15	13.7	3.9	y	NA	12	12.6	2.6	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.53369681395743	0.955511445027436	3.87298334620742	2.61739583283408	1.3609765531356	4.24264068711928	2.63905732961526	1.45861502269952	2.21484617868604	0.112435429329788	0.920681080175448
UA004.7.f	2	12	UA004	7	f	nat	nut def	UA004.7.f	78	28	15.1	3.3	n	78	7.13	1.647	5.185	22	14.1	3.1	y	NA	18	12.6	2.9	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		4.24264068711928	2.53369681395743	1.06471073699243	4.69041575982343	2.64617479738412	1.1314021114911	5.29150262212918	2.71469474382088	1.19392246847243	1.9643112344262	0.498955451195503	1.64576984168149
