Rack	Pos	PopID	Mom	Indiv	Origin	LfCount1	LfLgth1	LfWdth1	ID	LfLgth1.log	LfWdth1.log	LfCount1.sq
HU001.28.a	5	47	HU001	28	a	nat	13	13.3	3.5	HU001.28.a	2.58776403522771	1.25276296849537	3.60555127546399
US003.6.f	5	49	US003	6	f	inv	6	12.9	2.1	US003.6.f	2.55722731136763	0.741937344729377	2.44948974278318
US015.13.h	5	50	US015	13	h	inv	6	9	1.8	US015.13.h	2.19722457733622	0.587786664902119	2.44948974278318
RU008.18.i	6	1	RU008	18	i	nat	11	14	5.2	RU008.18.i	2.63905732961526	1.64865862558738	3.3166247903554
US003.19.g	6	2	US003	19	g	inv	13	14.9	3.3	US003.19.g	2.70136121295141	1.19392246847243	3.60555127546399
RO002.13.d	6	6	RO002	13	d	nat	9	10.2	2.7	RO002.13.d	2.32238772029023	0.993251773010283	3
UA003.9A.b	6	8	UA003	9A	b	nat	11	15	3.2	UA003.9A.b	2.70805020110221	1.16315080980568	3.3166247903554
US015.3.d	6	10	US015	3	d	inv	9	8.2	2.4	US015.3.d	2.10413415427021	0.8754687373539	3
CA001.6.c	6	12	CA001	6	c	inv	13	16.9	5	CA001.6.c	2.82731362192903	1.6094379124341	3.60555127546399
GR002.8.h	6	15	GR002	8	h	nat	10	12.4	2.8	GR002.8.h	2.51769647261099	1.02961941718116	3.16227766016838
RO004.21.i	6	16	RO004	21	i	nat	12	14.7	3	RO004.21.i	2.68784749378469	1.09861228866811	3.46410161513775
RU001.2.i	6	18	RU001	2	i	nat	15	15.2	4.5	RU001.2.i	2.72129542785223	1.50407739677627	3.87298334620742
TR004.14.d	6	20	TR004	14	d	nat	9	11.4	3	TR004.14.d	2.43361335540045	1.09861228866811	3
RO005.23.g	6	21	RO005	23	g	nat	10	17.6	4.3	RO005.23.g	2.86789890204411	1.45861502269952	3.16227766016838
TR003.24.g	6	25	TR003	24	g	nat	5	9.4	1.2	TR003.24.g	2.24070968927596	0.182321556793955	2.23606797749979
HU001.28.h	6	26	HU001	28	h	nat	13	16	3.4	HU001.28.h	2.77258872223978	1.22377543162212	3.60555127546399
RO003.9.g	6	27	RO003	9	g	nat	9	14	2.8	RO003.9.g	2.63905732961526	1.02961941718116	3
GR003.9.a	6	32	GR003	9	a	nat	8	16.4	4.8	GR003.9.a	2.79728133483015	1.56861591791385	2.82842712474619
US002.17.d	6	33	US002	17	d	inv	11	17.2	4.4	US002.17.d	2.84490938381941	1.48160454092422	3.3166247903554
US021.8.g	6	34	US021	8	g	inv	13	14.5	4.8	US021.8.g	2.67414864942653	1.56861591791385	3.60555127546399
BG001.25.a	6	36	BG001	25	a	nat	12	13.6	3.7	BG001.25.a	2.61006979274201	1.30833281965018	3.46410161513775
RU004.7.c	6	38	RU004	7	c	nat	11	18.4	3.8	RU004.7.c	2.91235066461494	1.33500106673234	3.3166247903554
US022.42.a	6	39	US022	42	a	inv	14	12.4	3.2	US022.42.a	2.51769647261099	1.16315080980568	3.74165738677394
US014.16.e	6	40	US014	16	e	inv	10	14.2	2.5	US014.16.e	2.65324196460721	0.916290731874155	3.16227766016838
GR001.24.e	6	41	GR001	24	e	nat	9	14	2.6	GR001.24.e	2.63905732961526	0.955511445027436	3
UA005.7.a	6	44	UA005	7	a	nat	10	17	5.2	UA005.7.a	2.83321334405622	1.64865862558738	3.16227766016838
TR001.19.f	6	45	TR001	19	f	nat	9	15.2	3.1	TR001.19.f	2.72129542785223	1.1314021114911	3
UA004.27.e	6	46	UA004	27	e	nat	11	16.3	6.5	UA004.27.e	2.79116510781272	1.87180217690159	3.3166247903554
RO001.21.f	6	47	RO001	21	f	nat	11	13.4	3.7	RO001.21.f	2.59525470695687	1.30833281965018	3.3166247903554
US001.23.c	6	48	US001	23	c	inv	8	15	3.3	US001.23.c	2.70805020110221	1.19392246847243	2.82842712474619
CA008.5.g	6	50	CA008	5	g	inv	11	12	2.8	CA008.5.g	2.484906649788	1.02961941718116	3.3166247903554
RO001.6.c	7	1	RO001	6	c	nat	10	11.9	2.5	RO001.6.c	2.47653840011748	0.916290731874155	3.16227766016838
RU004.6.a	7	4	RU004	6	a	nat	11	9.9	1.9	RU004.6.a	2.29253475714054	0.641853886172395	3.3166247903554
UA004.18.h	7	5	UA004	18	h	nat	13	14.1	2.5	UA004.18.h	2.64617479738412	0.916290731874155	3.60555127546399
CA001.2.a	7	6	CA001	2	a	inv	12	19.1	4.1	CA001.2.a	2.94968833505258	1.41098697371026	3.46410161513775
US002.22.i	7	7	US002	22	i	inv	15	18.9	4.6	US002.22.i	2.9391619220656	1.52605630349505	3.87298334620742
US020.24.f	7	8	US020	24	f	inv	11	18.6	4.1	US020.24.f	2.92316158071916	1.41098697371026	3.3166247903554
GR003.9.h	7	9	GR003	9	h	nat	11	13.5	2.3	GR003.9.h	2.60268968544438	0.832909122935104	3.3166247903554
GR001.6.e	7	11	GR001	6	e	nat	7	13.4	2.9	GR001.6.e	2.59525470695687	1.06471073699243	2.64575131106459
US026.15.c	7	12	US026	15	c	inv	9	13.9	3.6	US026.15.c	2.63188884013665	1.28093384546206	3
RU001.10.h	7	15	RU001	10	h	nat	8	13.8	3.2	RU001.10.h	2.62466859216316	1.16315080980568	2.82842712474619
TR005.9.d	7	16	TR005	9	d	nat	6	11.6	1.6	TR005.9.d	2.45100509811232	0.470003629245736	2.44948974278318
US003.20.j	7	17	US003	20	j	inv	15	19	2.9	US003.20.j	2.94443897916644	1.06471073699243	3.87298334620742
UA001.18.e	7	18	UA001	18	e	nat	11	10.5	2.6	UA001.18.e	2.35137525716348	0.955511445027436	3.3166247903554
US023.41.c	7	19	US023	41	c	inv	11	18.7	4.5	US023.41.c	2.92852352386054	1.50407739677627	3.3166247903554
RO005.23.d	7	21	RO005	23	d	nat	10	13	3.5	RO005.23.d	2.56494935746154	1.25276296849537	3.16227766016838
US013.14.f	7	22	US013	14	f	inv	3	11.4	1.7	US013.14.f	2.43361335540045	0.53062825106217	1.73205080756888
US019.6.c	7	24	US019	6	c	inv	NA	NA	NA	US019.6.c	NA	NA	NA
UA008.25.b	7	26	UA008	25	b	nat	6	16.2	2.6	UA008.25.b	2.78501124223834	0.955511445027436	2.44948974278318
HU001.24.h	7	27	HU001	24	h	nat	11	18.6	3.2	HU001.24.h	2.92316158071916	1.16315080980568	3.3166247903554
BG001.22.h	7	29	BG001	22	h	nat	13	12.5	2.6	BG001.22.h	2.52572864430826	0.955511445027436	3.60555127546399
UA002.18.d	7	30	UA002	18	d	nat	11	18.7	5.2	UA002.18.d	2.92852352386054	1.64865862558738	3.3166247903554
RO003.21.j	7	33	RO003	21	j	nat	13	15.2	2.9	RO003.21.j	2.72129542785223	1.06471073699243	3.60555127546399
GR002.17.d	7	35	GR002	17	d	nat	12	11.6	1.1	GR002.17.d	2.45100509811232	0.0953101798043249	3.46410161513775
US015.13.j	7	36	US015	13	j	inv	12	11.2	3.4	US015.13.j	2.41591377830105	1.22377543162212	3.46410161513775
CA008.4.h	7	38	CA008	4	h	inv	9	11.7	2.8	CA008.4.h	2.45958884180371	1.02961941718116	3
RO002.12.a	7	39	RO002	12	a	nat	8	12.4	2.9	RO002.12.a	2.51769647261099	1.06471073699243	2.82842712474619
RU008.19.d	7	40	RU008	19	d	nat	11	13.2	3	RU008.19.d	2.58021682959233	1.09861228866811	3.3166247903554
US001.20.c	7	41	US001	20	c	inv	10	12.6	2.5	US001.20.c	2.53369681395743	0.916290731874155	3.16227766016838
RO004.3.e	7	42	RO004	3	e	nat	10	12.2	2.5	RO004.3.e	2.50143595173921	0.916290731874155	3.16227766016838
US012.29.c	7	43	US012	29	c	inv	6	12.8	1.5	US012.29.c	2.54944517092557	0.405465108108164	2.44948974278318
US018.31.b	7	44	US018	31	b	inv	7	13.2	3.9	US018.31.b	2.58021682959233	1.3609765531356	2.64575131106459
CA007.1.a	7	45	CA007	1	a	inv	9	11.4	2.9	CA007.1.a	2.43361335540045	1.06471073699243	3
TR001.10.j	7	47	TR001	10	j	nat	11	10.3	2.1	TR001.10.j	2.33214389523559	0.741937344729377	3.3166247903554
