PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
32	GR001	36	35	6	d	nat	nut def	GR001.6.d	77	12	18.9	5.5	n	77	5.81	1.735	8.152	10	20	5.1	y	NA	9	19	6	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.94443897916644	1.79175946922805	3.16227766016838	2.99573227355399	1.62924053973028	3.46410161513775	2.9391619220656	1.70474809223843	1.75958057086382	0.551007413398823	2.09826329592042	103.95	4.64391001430402	40.1566666666667	22.5480555555556	0
33	GR001	49	13	14	c	nat	nut def	GR001.14.c	75	8	16.4	3.8	n	77	4.22	1.044	2.041	8	16.9	4.5	y	NA	7	14.5	2.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.64575131106459	2.67414864942653	1.06471073699243	2.82842712474619	2.82731362192903	1.50407739677627	2.82842712474619	2.79728133483015	1.33500106673234	1.43983512804792	0.043059489460447	0.713439883827708	62.32	4.13228240156249	40.1566666666667	22.5480555555556	0
34	GR002	47	37	17	a	nat	nut def	GR002.17.a	80	14	23.1	4.1	n	80	6.17	1.222	2.505	14	23.7	4.8	y	NA	9	21.2	2.3	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	3.05400118167797	0.832909122935104	3.74165738677394	3.16547504814109	1.56861591791385	3.74165738677394	3.13983261752775	1.41098697371026	1.8196988379173	0.200488860749404	0.918288734536828	94.71	4.55081959123801	40.6213888888889	23.0786111111111	0
35	GR002	27	30	13	d	nat	nut def	GR002.13.d	80	20	15.1	3.6	n	82	6.47	1.508	2.392	14	16.9	4.6	y	NA	9	13.1	3.3	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.57261223020711	1.19392246847243	3.74165738677394	2.82731362192903	1.52605630349505	4.47213595499958	2.71469474382088	1.28093384546206	1.86717610851281	0.410784269585764	0.872129836088385	54.36	3.99562858928294	40.6213888888889	23.0786111111111	0
36	GR002	49	12	2	f	nat	nut def	GR002.2.f	75	4	15.1	4.3	y	77	6.64	2.535	2.582	15	18.4	4.4	y	12	12	14.7	3.8	14	15	18	1	12	38	1	37.5	69	1	38	32	white	3.46410161513775	2.68784749378469	1.33500106673234	3.87298334620742	2.91235066461494	1.48160454092422	2	2.71469474382088	1.45861502269952	1.89311196348834	0.930193637043147	0.948564292424451	64.93	4.1733097665204	40.6213888888889	23.0786111111111	1
37	GR002	36	14	25	a	nat	nut def	GR002.25.a	75	12	18	4.2	n	77	5.64	1.023	3.543	12	18	4.2	y	NA	12	12.5	3	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.52572864430826	1.09861228866811	3.46410161513775	2.89037175789616	1.43508452528932	3.46410161513775	2.89037175789616	1.43508452528932	1.72988406550997	0.0227394869694893	1.26497382588333	75.6	4.32545628318549	40.6213888888889	23.0786111111111	0
38	GR002	26	27	8	g	nat	nut def	GR002.8.g	80	11	13.5	2.6	n	80	6.21	0.826	2.083	10	16.5	3.4	n	NA	7	13.2	2.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.64575131106459	2.58021682959233	0.993251773010283	3.16227766016838	2.80336038090653	1.22377543162212	3.3166247903554	2.60268968544438	0.955511445027436	1.82616089594539	-0.191160505461159	0.733809162278835	35.1	3.55820113047182	40.6213888888889	23.0786111111111	0
39	GR002	20	26	2	c	nat	nut def	GR002.2.c	80	20	17.6	3.3	n	80	7.96	1.927	3.367	19	17.8	3.1	y	NA	11	16.4	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.79728133483015	1.19392246847243	4.35889894354067	2.87919845729804	1.1314021114911	4.47213595499958	2.86789890204411	1.19392246847243	2.07442899985629	0.655964389432229	1.21402214017894	58.08	4.06182137051654	40.6213888888889	23.0786111111111	0
40	GR002	13	50	17	c	nat	nut def	GR002.17.c	78	18	15.6	3.6	n	78	5.62	0.986	2.809	19	15.9	2	y	NA	12	10.6	1.4	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.36085400111802	0.336472236621213	4.35889894354067	2.76631910922619	0.693147180559945	4.24264068711928	2.74727091425549	1.28093384546206	1.7263316639056	-0.0140989243795016	1.03282854812211	56.16	4.02820475971756	40.6213888888889	23.0786111111111	0
41	GR002	2	14	25	g	nat	nut def	GR002.25.g	78	11	16.6	3.9	n	78	4.34	0.761	2.114	11	18.7	3.4	y	NA	10	12.6	3.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.53369681395743	1.30833281965018	3.3166247903554	2.92852352386054	1.22377543162212	3.3166247903554	2.8094026953625	1.3609765531356	1.46787434811231	-0.273121921120451	0.748581887448046	64.74	4.1703792484981	40.6213888888889	23.0786111111111	0
