PopID	Pos	Mom	Indiv	Origin	Rack	Trt	ID	FRack	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	Latitude	Longitude
38	GR003	44	17	j	nat	35	flood	GR003.17.j	F1	71	0	NA	NA	y	91	8.36	2.568	0.441	6	NA	39	F1-44	11	39	1	24.1	69	1	27	63	white	15	4	10	3.87298334620742	1.38629436111989	2.30258509299405	0	NA	NA	2.12345842709661	0.943127385827715	-0.818710403535291	40.8508333333333	25.7930555555556
39	GR003	24	17	f	nat	14	flood	GR003.17.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	17	12	FF-12	NA	NA	NA	NA	NA	NA	NA	NA		8	16.8	2.6	2.82842712474619	2.82137888640921	0.955511445027436	NA	NA	NA	NA	NA	NA	40.8508333333333	25.7930555555556
40	GR003	11	3	h	nat	23	flood	GR003.3.h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	14	13	FLOAT-13	NA	NA	NA	NA	NA	NA	NA	NA		13	13.4	2.9	3.60555127546399	2.59525470695687	1.06471073699243	NA	NA	NA	NA	NA	NA	40.8508333333333	25.7930555555556
41	HU001	3	13	f	nat	35	flood	HU001.13.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	25	15	FLOAT-15	NA	NA	NA	NA	NA	NA	NA	NA		9	17	4	3	2.83321334405622	1.38629436111989	NA	NA	NA	NA	NA	NA	47.6419444444444	18.7825
42	HU001	10	13	a	nat	14	flood	HU001.13.a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	21	14	FLOAT-14	NA	NA	NA	NA	NA	NA	NA	NA		7	9.9	1.5	2.64575131106459	2.29253475714054	0.405465108108164	NA	NA	NA	NA	NA	NA	47.6419444444444	18.7825
43	HU001	22	14	j	nat	39	flood	HU001.14.j	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	19	13	FLOAT-13	NA	NA	NA	NA	NA	NA	NA	NA		9	13	4	3	2.56494935746154	1.38629436111989	NA	NA	NA	NA	NA	NA	47.6419444444444	18.7825
44	HU001	46	28	d	nat	45	flood	HU001.28.d	F2	71	0	NA	NA	y	91	7.64	1.136	0.28	6	NA	NA	F2-46	69	NA	NA	NA	69	1	22.5	NA		11	16	3.8	3.3166247903554	2.77258872223978	1.33500106673234	0	NA	NA	2.03339760317843	0.12751332029896	-1.27296567581289	47.6419444444444	18.7825
45	HU001	41	24	l	nat	43	flood	HU001.24.l	F2	71	9	18.6	6.2	y	74	9.9	2.04	0.754	6	NA	21	F2-41	39	39	1	8.7	69	1	38	NA		NA	NA	NA	NA	NA	NA	3	2.92316158071916	1.82454929205105	2.29253475714054	0.712949807856125	-0.282362910974181	47.6419444444444	18.7825
46	HU001	46	13	j	nat	3	flood	HU001.13.j	F1	71	15	17.5	5.5	n	91	7.56	1.295	0.946	8	NA	17	F1-46	NA	NA	NA	NA	NA	NA	NA	NA		7	12.4	1.6	2.64575131106459	2.51769647261099	0.470003629245736	3.87298334620742	2.86220088092947	1.70474809223843	2.02287119019144	0.258510695151501	-0.0555127099302588	47.6419444444444	18.7825
47	HU001	40	13	h	nat	23	flood	HU001.13.h	F1	71	12	20.6	8.3	y	91	6.25	4.103	1.247	7	NA	19	F1-40	69	NA	NA	NA	69	1	35	NA		6	14.2	1.7	2.44948974278318	2.65324196460721	0.53062825106217	3.46410161513775	3.02529107579554	2.11625551480255	1.83258146374831	1.41171841346005	0.220740666697899	47.6419444444444	18.7825
48	RO001	37	28	h	nat	23	flood	RO001.28.h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	13	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.1102777777778	28.6369444444444
49	RO001	44	12	h	nat	45	flood	RO001.12.h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	19	18	FLOAT-18	NA	NA	NA	NA	NA	NA	NA	NA		11	18.5	3.5	3.3166247903554	2.91777073208428	1.25276296849537	NA	NA	NA	NA	NA	NA	44.1102777777778	28.6369444444444
50	RO001	34	12	j	nat	39	flood	RO001.12.j	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	19	17	FLOAT-17	NA	NA	NA	NA	NA	NA	NA	NA		6	18	3	2.44948974278318	2.89037175789616	1.09861228866811	NA	NA	NA	NA	NA	NA	44.1102777777778	28.6369444444444
51	RO001	15	12	f	nat	35	flood	RO001.12.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	16	15	FLOAT-15	NA	NA	NA	NA	NA	NA	NA	NA		8	12	2.5	2.82842712474619	2.484906649788	0.916290731874155	NA	NA	NA	NA	NA	NA	44.1102777777778	28.6369444444444
52	RO001	6	13	j	nat	43	flood	RO001.13.j	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	19	15	FLOAT-15	NA	NA	NA	NA	NA	NA	NA	NA		11	16.2	2.9	3.3166247903554	2.78501124223834	1.06471073699243	NA	NA	NA	NA	NA	NA	44.1102777777778	28.6369444444444
53	RO001	47	13	f	nat	14	flood	RO001.13.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	16	NA		NA	NA	NA	NA	NA	NA	NA	NA		10	13.6	3.1	3.16227766016838	2.61006979274201	1.1314021114911	NA	NA	NA	NA	NA	NA	44.1102777777778	28.6369444444444
54	RO002	44	13	f	nat	3	flood	RO002.13.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	19	NA		NA	NA	NA	NA	NA	NA	NA	NA		7	11.1	3.2	2.64575131106459	2.40694510831829	1.16315080980568	NA	NA	NA	NA	NA	NA	43.9024333333333	28.5739166666667
55	RO002	48	22	e	nat	23	flood	RO002.22.e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	29	NA		NA	NA	NA	NA	NA	NA	NA	NA		9	10.3	2.3	3	2.33214389523559	0.832909122935104	NA	NA	NA	NA	NA	NA	43.9024333333333	28.5739166666667
56	RO002	1	22	i	nat	14	flood	RO002.22.i	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	29	NA		NA	NA	NA	NA	NA	NA	NA	NA		12	13	4.5	3.46410161513775	2.56494935746154	1.50407739677627	NA	NA	NA	NA	NA	NA	43.9024333333333	28.5739166666667
57	RO002	21	18	i	nat	43	flood	RO002.18.i	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	20	FLOAT-20	NA	NA	NA	NA	NA	NA	NA	NA		8	11.1	1.7	2.82842712474619	2.40694510831829	0.53062825106217	NA	NA	NA	NA	NA	NA	43.9024333333333	28.5739166666667
58	RO002	36	12	i	nat	39	flood	RO002.12.i	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	14	13	FLOAT-13	NA	NA	NA	NA	NA	NA	NA	NA		8	16	3.5	2.82842712474619	2.77258872223978	1.25276296849537	NA	NA	NA	NA	NA	NA	43.9024333333333	28.5739166666667
59	RO002	17	22	c	nat	35	flood	RO002.22.c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	21	20	FLOAT-20	NA	NA	NA	NA	NA	NA	NA	NA		10	14.5	3.5	3.16227766016838	2.67414864942653	1.25276296849537	NA	NA	NA	NA	NA	NA	43.9024333333333	28.5739166666667
60	RO002	5	15	k	nat	45	flood	RO002.15.k	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		10	14.4	3.1	3.16227766016838	2.66722820658195	1.1314021114911	NA	NA	NA	NA	NA	NA	43.9024333333333	28.5739166666667
61	RO003	20	9	a	nat	35	flood	RO003.9.a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	15	14	FLOAT-14	NA	NA	NA	NA	NA	NA	NA	NA		9	16.5	4	3	2.80336038090653	1.38629436111989	NA	NA	NA	NA	NA	NA	44.3896666666667	28.5266388888889
62	RO003	32	11	j	nat	43	flood	RO003.11.j	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	19	16	FLOAT-16	NA	NA	NA	NA	NA	NA	NA	NA		10	17.6	2.8	3.16227766016838	2.86789890204411	1.02961941718116	NA	NA	NA	NA	NA	NA	44.3896666666667	28.5266388888889
63	RO003	32	21	a	nat	45	flood	RO003.21.a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	14	13	FLOAT-13	NA	NA	NA	NA	NA	NA	NA	NA		11	16.8	2.5	3.3166247903554	2.82137888640921	0.916290731874155	NA	NA	NA	NA	NA	NA	44.3896666666667	28.5266388888889
64	RO003	24	9	c	nat	3	flood	RO003.9.c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	14	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		9	14.1	4.3	3	2.64617479738412	1.45861502269952	NA	NA	NA	NA	NA	NA	44.3896666666667	28.5266388888889
65	RO003	46	4	j	nat	39	flood	RO003.4.j	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	29	NA		NA	NA	NA	NA	NA	NA	NA	NA		12	11	2.5	3.46410161513775	2.39789527279837	0.916290731874155	NA	NA	NA	NA	NA	NA	44.3896666666667	28.5266388888889
