ID	LfCount2	MaxLfLgth2	MaxLfWdth2	LfYellow	BoltHtm2
RU008.18.f	14	19.4	3.7	y	
HU001.28.e	21	25.4	8.5	y	
TR001.12.g	20	25	5.4	y	
CA007.2.d	16	24.5	4.6	y	
US001.22.a	17	25.6	5.9	y	
UA002.15.j	19	29.1	8.1	n	
BG001.17.d	22	14.9	3	y	
RO002.15.b	15	28.2	4.8	y	
RU001.7.c	18	23.8	5.9	y	
RO005.15.h	17	20.8	4.2	n	
US002.17.a	15	22.5	4.7	y	
RO001.12.e	18	20.1	3.4	y	
UA008.18.a	15	28.9	7.9	y	
UA003.7A.i	19	32.1	5.5	n	
GR003.10.e	18	29.6	5.2	y	
US015.15.d	15	22.6	5.3	n	
CA008.5.i	17	26	8.1	n	
US022.41.a	13	17.7	3.6	y	
US013.23.b	10	21.9	4.6	y	
TR005.9.f	8	13.6	1.4	n	
US026.15.d	12	24.2	5.5	y	
US018.11.c	21	19	3.3	n	
RO003.11.h	14	23.6	5.7	y	
US014.16.m	12	27.5	6.8	n	
UA006.10.b	18	22.1	6.1	y	
TR004.8.e	13	12.6	1.4	y	
US018.5.d	12	17.1	3.6	y	
CA007.2.b	13	15.2	4.3	n	
GR001.26.i	17	14.2	2.8	n	
RO004.21.h	17	14.4	3.3	y	
RU002.5.c	18	14.5	3.9	y	
RO001.13.c	16	15.3	4.9	y	
UA005.3.c	13	22.5	4.5	y	
RU008.21.f	16	22.7	4.1	n	
US015.2.d	16	17.2	5.3	y	
CA001.7.b	8	22.6	6	y	
RO005.14.d	13	16.5	4.1	y	
UA001.19.a	16	15.6	4.6	y	
RO002.18.e	11	17.6	4.3	y	
GR002.2.c	19	17.8	3.1	y	
US001.3.b	16	20.4	3.8	y	
US003.28.i	13	23.2	3.9	y	
RO003.4.d	11	18	3.2	y	
RU003.7.a	35	15.1	4.1	y	
US022.17.f	19	15.8	3.6	y	
UA007.20.d	10	18.3	3.7	n	
UA004.18.d	13	20.1	4.3	y	
UA003.11A.f	11	23.2	3.5	n	
BG001.17.c	17	15.4	4.3	n	
RU004.7.e	15	15.1	3.2	y	
GR003.9.i	10	21.7	4.1	n	
US023.41.f	29	14.4	2.8	n	
TR001.1.h	13	20.2	3.1	y	
US014.22.f	9	17.4	4	y	
RU001.6.b	14	19.3	2.8	y	
US002.1.d	18	16.6	4.2	y	
TR003.14.d	14	28	3.1	y	
HU001.13.e	14	17.4	4.2	y	
RU001.10.f	15	28.3	7.6	n	
US001.3.c	15	19.9	3.8	y	
UA002.13.a	17	32.5	6	y	
US002.1.c	14	17.6	4.2	y	
