ID	LfCount1	MaxLfLgth1	MaxLfWdth1
UA006.14.e	6	13.4	3.5
RO003.21.e	11	10.7	3.1
GR002.13.c	8	15.1	2.6
TR001.19.c	9	12	2.7
US022.17.e	11	10.6	2.4
RU008.19.k	13	18.6	4.6
RO004.13.d	11	10.2	2.5
UA004.15.h	12	12.3	2.4
US001.3.g	11	12.2	3.6
US020.27.g	5	5.6	0.7
US015.2.b	12	13.3	4.1
US011.8.f	11	10.4	3.6
UA003.8.a	10	15.1	3.2
RU001.10.i	10	13	2.2
CA001.2.j	12	11.3	3.4
RO005.17.c	10	10.8	2.2
RO001.13.d	11	12.6	4
US026.23.b	9	15.4	4.4
HU001.24.f	12	17	5.6
US014.22.h	9	13.1	1.9
RO005.25.f	9	13.8	3.2
UA003.9A.a	10	15.1	3.4
CA001.2.c	11	12.1	3.5
TR003.2.f	9	10.2	1.9
HU001.14.k	7	13.4	2.2
US001.3.i	11	13.6	4
RU008.21.d	11	12.8	2.2
CA007.20.a	12	13.4	4.1
US022.42.k	11	12.9	2.1
GR003.3.g	10	15.2	2.9
US011.8.b	11	19.4	3.9
US020.27.b	8	14	2.9
TR001.10.h	10	13.9	3.5
US023.41.i			
GR002.2.j	14	13.2	3.1
US002.24.b	10	12.8	2.6
UA005.3.b	13	14	4.1
RU005.11.e	12	11.9	2.6
US003.6.i	8	12.6	3.1
US017.4.b			
US012.31.f	5	11.3	2.1
RO004.20.d	12	10.1	3.2
RO002.22.f	10	14.5	3.9
RO003.11.e	9	14.2	3.5
US014.16.h	9	14.2	3.6
US018.31.a	8	13.5	3
US015.3.k	10	11.8	2.9
UA006.14.b	9	16.8	3.2
RO001.21.d	8	15	3
UA001.22.c	11	10.3	2.6
CA008.5.a	15	11.4	2.1
US026.24.c	8	10.5	1.9
TR004.2.b	7	7.3	1.6
BG001.25.e	11	12.5	2.6
GR001.26.c	7	14.2	1.9
UA004.5.a	12	10.2	2.4
GR003.12.j	4	7.6	1.1
TR001.1.d	11	13.4	3.1
RO004.13.a	13	10.6	2.6
UA001.25.c	14	10.8	4.1
BG001.16.b	13	9	3.1
TR005.18.h	8	8.4	2.5
UA005.18.d	10	13.2	3.3
US011.8.k	7	10.3	1.8
UA003.9A.d	9	13.8	3.5
RO003.21.b	9	14.7	4.1
US014.4.d	4	8.3	1.3
RO001.12.a	8	12.3	4.1
US015.15.e	11	16	5
TR004.27.b	12	11.8	3
US001.20.j	12	18.8	3.4
US021.3.d	10	16.7	4.2
GR001.28.b	5	14.4	1.5
UA004.27.h	14	13	3.3
CA001.7.i	13	14.7	3.4
US002.5.c	11	11.6	2.3
US023.34.k	10	13.8	4.8
RU001.9.d	11	15	4.5
RU008.18.d	13	16.8	4.2
TR003.14.b	9	10.5	2
HU001.5.a	9	17.6	3.4
RU005.11.a	38	13.1	2.2
GR002.17.f	10	16.9	2.7
US012.28.b	7	17.7	4.2
US003.19.a	11	11.6	3.2
RO005.14.e	8	12.5	2.5
CA008.2.b	13	13.6	3.9
US022.17.a	13	15	3
RO002.15.c	13	14.6	4.3
RU002.5.a	8	11.6	2.9
TR003.24.f	7	8.5	1.8
TR001.10.c	9	16.1	3.5
RO002.12.d	8	13.2	2.7
CA001.4.c	12	11.9	2.1
TR005.18.f	9	12.5	3.3
UA002.15.c	10	17.6	3.5
US015.13.k	10	11	3.1
TR004.8.h	8	13.4	2.9
RO001.6.b	13	16.9	3.6
UA003.6.e	8	17.2	2.3
RU002.7.b	9	14.7	2.6
RO004.12.a	11	16	2.1
RO003.9.j	8	14.1	2.2
UA001.25.h	12	17	4.1
RU008.16.i	15	13.9	2.2
RO005.25.c	9	10.8	2.1
RU005.6.f	10	18.1	4
US001.3.a	10	16.3	4.4
US021.8.k	11	9.9	3.5
US023.41.e	11	16.8	6.5
GR003.10.c	9	16.7	5.2
US014.16.k	9	13	4.2
BG001.25.i	10	14.2	3.6
RU001.7.b	11	13.4	3.5
US002.17.b	10	12.5	4.2
UA004.15.c	15	14.5	2.1
HU001.5.h	6	8.8	1.4
GR001.26.e	10	13.8	3.6
CA008.2.a	14	11.8	2.7
US003.28.j	11	17	3.9
GR002.17.c	12	10.6	1.4
RO002.22.i	12	13	4.5
CA007.2.e	7	14	3.6
GR002.25.b	10	15.8	3
UA005.15.a	10	15.4	2.9
CA001.7.c	12	14.5	4.5
RO003.15.i	13	12	3
RO004.12.h	11	9.5	2
HU001.13.a	7	9.9	1.5
US022.42.b	12	15.5	3.5
UA004.5.b	13	11.8	2.6
RU001.9.e	8	14.2	2.6
CA008.6.b	12	15.8	3.7
GR003.17.f	8	16.8	2.6
TR005.9.e	7	13.8	2.4
BG001.16.d	10	15.7	4
UA003.11A.c	11	14.4	3.6
US015.2.c	10	11.9	2.2
US026.23.a	11	16.6	3.7
US003.27.d	11	14.5	4.3
RU008.17.a	11	14.8	4.2
US001.23.g	15	15.4	2.8
GR001.26.f	7	14.4	1.4
RU002.5.d	11	13.8	4
US012.31.a	7	16.8	4.1
TR001.1.c	13	12.2	3.2
UA006.10.a	8	16.5	3.5
UA008.13.d	10	15.6	3.9
US002.24.f	11	13	2.6
RO001.13.f	10	13.6	3.1
UA001.11.d	13	13.2	3.5
RO005.17.b			
RU004.7.b	12	15	2.9
US012.28.d	7	18	2.5
UA006.22.a	9	15.2	4.1
BG001.16.c	16	10.2	2.7
TR005.18.b	6	10.3	3.4
HU001.24.g	12	16.1	4.7
UA003.9A.e	10	16	3.5
TR003.2.d	8	9.6	2.3
UA002.18.a	10	16.6	3.6
RO001.21.c	10	12.8	1.8
GR001.24.a	7	14.2	3.2
GR002.8.c	11	9.8	2.6
US015.2.a	9	11.5	3.1
RO002.13.c	9	10.6	3.2
RU005.5.g	14	12.6	3
RO005.17.h	11	12.5	3
US003.6.e	8	8.9	3
RU001.10.d	7	12.3	2.3
US014.16.l	9	13.9	2.6
UA001.18.c	12	14.2	2.2
RO003.4.f	13	13.2	3.2
GR003.9.e	9	16.7	3.7
RO004.3.f	10	16	3.6
TR001.12.b	11	15.2	3.5
US002.5.a	11	13.6	2.9
US001.14.m	12	15.5	4.2
RU003.3.e	14	9.3	1.7
RU008.16.j	12	12.3	3.2
UA005.15.d	7	11.8	1.7
CA001.2.h	11	10.4	2.8
US026.15.b	10	14.4	2.3
GR001.28.h	9	16.6	3.5
RO004.13.b	9	13.7	3.6
TR003.24.b	7	8.1	1.3
RO001.6.j	12	15.5	3.2
BG001.25.h	13	11.2	2.9
UA001.25.f	13	9.5	1.8
GR003.10.b	8	13.7	3.7
RO002.12.o	10	11.6	2
US011.8.g	11	14.9	5.5
TR001.24.i	8	17	3.1
UA004.18.b	13	14.8	2.3
RU004.8.a	8	13.1	2.1
CA001.3.j	13	17.3	3.7
RU003.3.b	12	12.8	2.5
US026.24.i	4	8	1.2
US003.19.e	11	10.3	2.5
TR005.18.a	10	10.5	3.1
UA006.14.i	12	16.8	2.6
US021.8.d	8	15.9	3.9
US001.14.a	13	15.2	3.3
CA008.2.d	10	14.2	2.6
RO003.9.f	8	13.6	2.7
RU001.10.e	7	10	1.5
US002.17.c	17	16.2	4.6
HU001.14.h	11	15.6	4.9
US020.42.b	10	15	3.1
UA005.18.e	10	12.9	2.6
RU008.18.c	12	13.1	2.5
RO005.15.c	9	12.9	2.8
US014.16.c	10	15.4	5.3
US015.3.a	13	14	2.9
UA003.6.j	9	13.5	3.7
TR004.18.g	8	11.8	3.3
US023.34.a	8	14.1	4.7
US022.41.b	14	14.3	3.1
RO005.17.a	8	8.3	2.6
GR003.17.g	8	16.4	2.2
RO004.3.b	12	15	3.5
RU005.3.b	12	12.3	3.2
US020.12.c	11	13.1	3
UA006.24.a	9	13.4	2.2
TR003.15.f	9	18.5	2.8
RO003.21.c	9	17.8	4
UA002.14.b	13	15.7	3.6
CA008.4.d	12	12.7	3.6
CA001.7.j	10	17.4	4.7
RO001.21.b	5	8	1.2
UA001.11.b	10	11.7	3.4
US015.15.h	11	13.5	3.3
US003.6.d	9	14.6	4
US014.17.i	6	12.3	2.4
HU001.14.m	9	17	4.1
US002.22.j	17	14.7	3.4
US026.24.h	3	9.1	1.7
US012.28.a	7	15.7	3.5
RU002.5.b	11	13.4	3.3
UA004.27.d	18	14.6	3.2
UA003.8.f	7	12.9	1.6
US001.22.f	10	13.7	2.7
TR001.10.i	7	18.6	4.3
GR002.25.e	11	11.8	2.3
TR005.18.n	7	7.9	2
GR001.14.f	10	14.8	3
BG001.16.h	14	13.2	4.1
RO002.13.a	6	8.4	1.3
RU008.19.c	12	10.1	2.5
UA005.15.c	7	10.6	2.1
UA001.18.f	10	7.9	2.4
US003.27.j	10	15.4	3.5
GR002.8.j	10	13.8	2.9
UA004.5.e	16	13.5	3
RO004.20.g	11	9.2	2.1
CA001.2.b	12	13.9	4.2
RU008.18.f	12	10.4	2.6
HU001.28.e	12	12.5	4.4
TR001.12.g	14	12.2	3.5
CA007.2.d	10	13.2	3.1
US001.22.a	12	13.4	2.6
UA002.13.c	9	10	4.1
BG001.17.d	12	9.5	2.4
RO002.15.b	12	14.6	3.1
