PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log	Latitude	Longitude	bolt.bin
38	GR003	33	30	10	d	nat	cut	GR003.10.d	76	25	y	76	7.76	1.348	16	n	NA	8	13.2	3.2	NA	NA	53	NA	NA	NA	53	1	2.6	69	1	32.5	NA			2.82842712474619	2.58021682959233	1.16315080980568	4	5	2.04898233419513	0.298622012490115	40.8508333333333	25.7930555555556	1
39	GR003	10	17	12	d	nat	cut	GR003.12.d	76	33	n	76	8.5	1.247	18	n	NA	8	12.7	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.54160199346455	1.02961941718116	4.24264068711928	5.74456264653803	2.14006616349627	0.220740666697899	40.8508333333333	25.7930555555556	0
40	HU001	10	45	24	f	nat	cut	HU001.24.f	76	26	n	76	7.12	1.393	18	n	NA	12	17	5.6	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.83321334405622	1.7227665977411	4.24264068711928	5.09901951359278	1.96290772542388	0.331459694797669	47.6419444444444	18.7825	0
41	HU001	11	9	14	k	nat	cut	HU001.14.k	77	41	n	77	7.01	1.245	15	n	NA	7	13.4	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.59525470695687	0.78845736036427	3.87298334620742	6.40312423743285	1.9473377010465	0.219135529916671	47.6419444444444	18.7825	0
42	HU001	38	35	24	a	nat	cut	HU001.24.a	76	14	y	76	7.57	0.707	18	n	NA	10	15.6	2.5	NA	NA	53	NA	NA	NA	53	1	7.3	69	1	33	NA			3.16227766016838	2.74727091425549	0.916290731874155	4.24264068711928	3.74165738677394	2.02419306744936	-0.346724613085564	47.6419444444444	18.7825	1
43	HU001	4	29	28	c	nat	cut	HU001.28.c	76	48	n	76	9.42	6.434	28	n	NA	19	14.5	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			4.35889894354067	2.67414864942653	1.50407739677627	5.29150262212918	6.92820323027551	2.24283508858827	1.86159642881683	47.6419444444444	18.7825	0
44	HU001	16	39	14	h	nat	cut	HU001.14.h	77	30	n	77	7.45	1.873	17	n	NA	11	15.6	4.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.74727091425549	1.58923520511658	4.12310562561766	5.47722557505166	2.00821403239147	0.627541423461951	47.6419444444444	18.7825	0
45	HU001	41	36	13	b	nat	cut	HU001.13.b	76	22	n	76	7.43	1.303	14	n	NA	8	18.5	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.91777073208428	1.56861591791385	3.74165738677394	4.69041575982343	2.00552585872967	0.264669298142708	47.6419444444444	18.7825	0
46	HU001	33	44	14	d	nat	cut	HU001.14.d	76	40	n	76	6.63	1.712	21	n	NA	13	10	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.30258509299405	1.52605630349505	4.58257569495584	6.32455532033676	1.89160480419777	0.53766227771955	47.6419444444444	18.7825	0
47	RO001	11	39	21	d	nat	cut	RO001.21.d	77	22	n	77	6.4	2.241	16	n	NA	8	15	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.70805020110221	1.09861228866811	4	4.69041575982343	1.85629799036563	0.80692219481879	44.1102777777778	28.6369444444444	0
48	RO001	38	36	28	e	nat	cut	RO001.28.e	76	23	n	76	7.06	0.771	12	n	NA	9	18.3	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.90690105984738	1.70474809223843	3.46410161513775	4.79583152331272	1.95444505150515	-0.260066905418808	44.1102777777778	28.6369444444444	0
49	RO001	10	43	13	d	nat	cut	RO001.13.d	76	23	n	76	8.37	1.047	22	n	NA	11	12.6	4	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.53369681395743	1.38629436111989	4.69041575982343	4.79583152331272	2.12465388450138	0.0459289318883997	44.1102777777778	28.6369444444444	0
50	RO001	33	27	13	i	nat	cut	RO001.13.i	76	27	n	76	6.73	1.591	16	n	NA	9	15.8	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.76000994003292	1.1314021114911	4	5.19615242270663	1.90657514365664	0.46436274935565	44.1102777777778	28.6369444444444	0
51	RO001	41	12	21	e	nat	cut	RO001.21.e	76	20	y	76	7.31	1.594	19	y	NA	11	13.5	2.5	NA	NA	50	NA	NA	NA	50	1	2.7	69	1	22	NA			3.3166247903554	2.60268968544438	0.916290731874155	4.35889894354067	4.47213595499958	1.98924327376169	0.466246580368023	44.1102777777778	28.6369444444444	1
52	RO001	4	32	28	g	nat	cut	RO001.28.g	76	39	n	76	7.07	1.209	16	n	NA	8	15	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.70805020110221	1.19392246847243	4	6.2449979983984	1.95586047990848	0.189793571632656	44.1102777777778	28.6369444444444	0
53	RO001	16	6	6	j	nat	cut	RO001.6.j	77	8	y	77	6.3	0.843	16	y	NA	12	15.5	3.2	NA	NA	53	NA	NA	NA	53	1	9	69	1	39.5	NA			3.46410161513775	2.7408400239252	1.16315080980568	4	2.82842712474619	1.84054963339749	-0.170788320980282	44.1102777777778	28.6369444444444	1
54	RO002	4	1	12	e	nat	cut	RO002.12.e	76	24	n	76	7.2	1.304	15	n	NA	9	12.2	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.50143595173921	1.22377543162212	3.87298334620742	4.89897948556636	1.97408102602201	0.265436463504461	43.9024333333333	28.5739166666667	0
55	RO002	16	13	12	o	nat	cut	RO002.12.o	77	31	n	77	6.49	1.314	18	y	NA	10	11.6	2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.45100509811232	0.693147180559945	4.24264068711928	5.56776436283002	1.870262530716	0.273075920062419	43.9024333333333	28.5739166666667	0
56	RO002	33	32	12	g	nat	cut	RO002.12.g	76	20	n	76	7.06	0.731	16	n	NA	8	13.4	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.59525470695687	0.741937344729377	4	4.47213595499958	1.95444505150515	-0.313341819232359	43.9024333333333	28.5739166666667	0
57	RO002	38	39	15	g	nat	cut	RO002.15.g	76	11	n	76	5.19	0.104	8	n	NA	7	16.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.77881927199042	1.38629436111989	2.82842712474619	3.3166247903554	1.6467336971778	-2.26336437984076	43.9024333333333	28.5739166666667	0
58	RO002	10	14	18	f	nat	cut	RO002.18.f	76	2	y	76	4.95	0.549	19	n	NA	9	10.3	2.3	NA	NA	50	NA	NA	NA	50	1	7.5	69	1	41	NA			3	2.33214389523559	0.832909122935104	4.35889894354067	1.4142135623731	1.5993875765806	-0.599656837472606	43.9024333333333	28.5739166666667	1
59	RO002	11	32	22	f	nat	cut	RO002.22.f	77	27	n	77	7.63	1.68	16	n	NA	10	14.5	3.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.67414864942653	1.3609765531356	4	5.19615242270663	2.03208784529637	0.518793793415168	43.9024333333333	28.5739166666667	0
60	RO002	41	49	18	a	nat	cut	RO002.18.a	76	16	n	76	5.82	0.504	15	n	NA	8	10.9	2.8	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.3887627892351	1.02961941718116	3.87298334620742	4	1.76130026174335	-0.685179010910768	43.9024333333333	28.5739166666667	0
