Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log
GR003.3.g	11	14	GR003	3	g	nat	cut	GR003.3.g	77	37	n	77	6.66	1.146	24	n	NA	10	15.2	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.72129542785223	1.06471073699243	4.89897948556636	6.08276253029822	1.8961194845523	0.136277618292548
US011.8.b	11	15	US011	8	b	inv	cut	US011.8.b	77	NA	n	77	6.57	1.448	14	n	NA	11	19.4	3.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.96527306606928	1.3609765531356	3.74165738677394	NA	1.88251383249652	0.370183293963525
US020.27.b	11	17	US020	27	b	inv	cut	US020.27.b	77	32	n	77	8.23	1.527	18	n	NA	8	14	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.63905732961526	1.06471073699243	4.24264068711928	5.65685424949238	2.10778601468898	0.423305026236495
TR001.10.h	11	20	TR001	10	h	nat	cut	TR001.10.h	77	31	n	77	5.77	1.404	14	n	NA	10	13.9	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.63188884013665	1.25276296849537	3.74165738677394	5.56776436283002	1.75267208052001	0.339325305603619
US023.41.i	11	21	US023	41	i	inv	cut	US023.41.i	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	NA
GR002.2.j	11	23	GR002	2	j	nat	cut	GR002.2.j	77	0	y	77	6.91	1.098	20	n	13.7	14	13.2	3.1	15	NA	15	18	1	13.7	39	1	39.8	69	1	42	63	white		3.74165738677394	2.58021682959233	1.1314021114911	4.47213595499958	0	1.93296963777958	0.093490343087339
US002.24.b	11	24	US002	24	b	inv	cut	US002.24.b	77	35	n	77	7.42	0.891	19	n	NA	10	12.8	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.54944517092557	0.955511445027436	4.35889894354067	5.91607978309962	2.00417905717929	-0.115410851511328
UA005.3.b	11	25	UA005	3	b	nat	cut	UA005.3.b	77	21	n	77	6.96	0.764	18	n	NA	13	14	4.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.63905732961526	1.41098697371026	4.24264068711928	4.58257569495584	1.94017947434633	-0.269187489815617
RU005.11.e	11	26	RU005	11	e	nat	cut	RU005.11.e	77	32	n	77	7.3	3.178	21	n	NA	12	11.9	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.47653840011748	0.955511445027436	4.58257569495584	5.65685424949238	1.98787434815435	1.15625206811452
US003.6.i	11	27	US003	6	i	inv	cut	US003.6.i	77	15	n	77	5.86	0.775	14	n	NA	8	12.6	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.53369681395743	1.1314021114911	3.74165738677394	3.87298334620742	1.76814960358892	-0.25489224962879
US012.31.f	11	29	US012	31	f	inv	cut	US012.31.f	77	15	n	77	4.77	0.129	15	n	NA	5	11.3	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.23606797749979	2.42480272571829	0.741937344729377	3.87298334620742	3.87298334620742	1.56234630490025	-2.04794287462046
RO004.20.d	11	30	RO004	20	d	nat	cut	RO004.20.d	77	34	n	77	6.78	3.509	20	n	NA	12	10.1	3.2	15	NA	69	NA	NA	NA	NA	NA	NA	69	1	8.5	NA			3.46410161513775	2.31253542384721	1.16315080980568	4.47213595499958	5.8309518948453	1.9139771019523	1.25533109660108
RO002.22.f	11	32	RO002	22	f	nat	cut	RO002.22.f	77	27	n	77	7.63	1.68	16	n	NA	10	14.5	3.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.67414864942653	1.3609765531356	4	5.19615242270663	2.03208784529637	0.518793793415168
RO003.11.e	11	34	RO003	11	e	nat	cut	RO003.11.e	77	0	n	77	6.08	0.72	20	n	NA	9	14.2	3.5	NA	NA	29	NA	NA	NA	39	1	28.4	69	1	37	NA			3	2.65324196460721	1.25276296849537	4.47213595499958	0	1.80500469597808	-0.328504066972036
US014.17.c	11	35	US014	17	c	inv	cut	US014.17.c	77	18	n	77	6.84	0.854	15	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	3.87298334620742	4.24264068711928	1.92278773163446	-0.157824085193567
US018.31.a	11	36	US018	31	a	inv	cut	US018.31.a	77	25	n	77	7.42	1.714	17	n	NA	8	13.5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.60268968544438	1.09861228866811	4.12310562561766	5	2.00417905717929	0.538829820175588
US015.3.k	11	37	US015	3	k	inv	cut	US015.3.k	77	23	n	77	7.69	0.702	18	n	NA	10	11.8	2.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.46809953147162	1.06471073699243	4.24264068711928	4.79583152331272	2.03992078351755	-0.353821874956326
UA006.14.b	11	38	UA006	14	b	nat	cut	UA006.14.b	77	24	n	77	7.42	1.693	14	y	NA	9	16.8	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.82137888640921	1.16315080980568	3.74165738677394	4.89897948556636	2.00417905717929	0.526502103150998
RO001.21.d	11	39	RO001	21	d	nat	cut	RO001.21.d	77	22	n	77	6.4	2.241	16	n	NA	8	15	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.70805020110221	1.09861228866811	4	4.69041575982343	1.85629799036563	0.80692219481879
UA001.22.c	11	41	UA001	22	c	nat	cut	UA001.22.c	77	35	n	77	7.62	2.599	19	 n	NA	11	10.3	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.33214389523559	0.955511445027436	4.35889894354067	5.91607978309962	2.03077636969855	0.955126755659353
CA008.5.a	11	43	CA008	5	a	inv	cut	CA008.5.a	77	54	n	77	9.29	2.596	28	n	NA	15	11.4	2.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.87298334620742	2.43361335540045	0.741937344729377	5.29150262212918	7.34846922834953	2.22893855282575	0.953971798841844
US026.24.c	11	45	US026	24	c	inv	cut	US026.24.c	77	19	n	77	6.19	1.074	15	n	NA	8	10.5	1.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.35137525716348	0.641853886172395	3.87298334620742	4.35889894354067	1.8229350866965	0.071389996086673
TR004.2.b	11	47	TR004	2	b	nat	cut	TR004.2.b	77	7	n	77	4.53	0.221	11	n	NA	7	7.3	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	1.98787434815435	0.470003629245736	3.3166247903554	2.64575131106459	1.51072193949494	-1.50959257746438
BG001.25.e	11	48	BG001	25	e	nat	cut	BG001.25.e	77	9	n	77	7.23	0.744	16	n	NA	11	12.5	2.6	NA	NA	39	NA	NA	NA	NA	NA	NA	69	1	17	NA			3.3166247903554	2.52572864430826	0.955511445027436	4	3	1.97823903617067	-0.295714244149045
GR001.26.c	11	49	GR001	26	c	nat	cut	GR001.26.c	77	30	n	77	7.82	2.49	14	n	NA	7	14.2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.65324196460721	0.641853886172395	3.74165738677394	5.47722557505166	2.05668455455722	0.912282710476616
UA004.5.a	11	50	UA004	5	a	nat	cut	UA004.5.a	77	57	n	77	9.54	5.202	18	n	NA	12	10.2	2.4	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.32238772029023	0.8754687373539	4.24264068711928	7.54983443527075	2.2554934854602	1.64904316702646
GR001.28.h	16	3	GR001	28	h	nat	cut	GR001.28.h	77	25	n	77	7.33	0.83	14	n	NA	9	16.6	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.8094026953625	1.25276296849537	3.74165738677394	5	1.99197551589856	-0.186329578191493
