Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	sqrt(cont$LfCount1)	log(cont$LfLgth1)	log(cont$LfWdth1)	sqrt(cont$LfCount2)	log(cont$LfLgth2)	log(cont$LfWdth2)	sqrt(cont$LfCountH)	log(cont$LfLgthH)	log(cont$LfWdthH)	log(cont$CrownDiam.mm)	log(cont$ShootMass.g)	log(cont$RootMass.g)
UA001.18.f	18	2	UA001	18	f	nat	cont	UA001.18.f	85	17	21.6	5.3	n	85	8.01	3.607	2.689	16	19.3	4.1	n	NA	10	7.9	2.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.06686275947298	0.8754687373539	4	2.96010509591084	1.41098697371026	4.12310562561766	3.07269331469012	1.66770682055808	2.08069076108027	1.2828764019214	0.989169377286728
US003.27.j	18	4	US003	27	j	inv	cont	US003.27.j	85	18	30.5	9.8	n	85	7.91	3.465	2.331	14	28.7	8	y	NA	10	15.4	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.73436750941958	1.25276296849537	3.74165738677394	3.35689712276558	2.07944154167984	4.24264068711928	3.41772668361337	2.28238238567653	2.06812778177956	1.24271263264187	0.84629736005362
GR002.8.j	18	7	GR002	8	j	nat	cont	GR002.8.j	85	8	25.9	4.6	y	85	9.12	2.921	1.108	18	23.5	4.1	n	NA	10	13.8	2.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.62466859216316	1.06471073699243	4.24264068711928	3.15700042115011	1.41098697371026	2.82842712474619	3.25424296870549	1.52605630349505	2.21046980408624	1.0719260234056	0.102556588325092
UA004.5.e	18	8	UA004	5	e	nat	cont	UA004.5.e	85	19	26	6.7	n	85	7.53	3.343	2.735	27	30.5	6.4	y	NA	16	13.5	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			4	2.60268968544438	1.09861228866811	5.19615242270663	3.41772668361337	1.85629799036563	4.35889894354067	3.25809653802148	1.90210752639692	2.0188950418118	1.20686860743796	1.00613143587394
RO004.20.g	18	9	RO004	20	g	nat	cont	RO004.20.g	85	0	NA	NA	y	85	5.72	2.505	0.542	23	21.5	3.5	n	NA	11	9.2	2.1		38	NA	NA	38	1	20.5	NA	69	1	29.5		84	purple		3.3166247903554	2.21920348405499	0.741937344729377	4.79583152331272	3.06805293513362	1.25276296849537	0	NA	NA	1.74396880539171	0.918288734536828	-0.612489277542491
CA001.2.b	18	10	CA001	2	b	inv	cont	CA001.2.b	85	27	20.9	5.6	n	85	7.71	4.212	6.41	19	17.3	3.9	y	NA	12	13.9	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.63188884013665	1.43508452528932	4.35889894354067	2.85070650150373	1.3609765531356	5.19615242270663	3.03974915897077	1.7227665977411	2.04251818757524	1.43793759427173	1.85785927093258
RU008.18.f	18	13	RU008	18	f	nat	cont	RU008.18.f	85	18	31.1	8.8	n	85	9.1	3.746	2.537	14	19.4	3.7	y	NA	12	10.4	2.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.34180580614733	0.955511445027436	3.74165738677394	2.96527306606928	1.30833281965018	4.24264068711928	3.43720781918519	2.17475172148416	2.2082744135228	1.3206886040219	0.930982280617145
HU001.28.e	18	14	HU001	28	e	nat	cont	HU001.28.e	85	29	29.5	6.3	n	85	6.99	4.974	6.697	21	25.4	8.5	y	NA	12	12.5	4.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.52572864430826	1.48160454092422	4.58257569495584	3.23474917402449	2.14006616349627	5.3851648071345	3.38439026334577	1.84054963339749	1.94448055624572	1.60422434538121	1.90165966492791
TR001.12.g	18	16	TR001	12	g	nat	cont	TR001.12.g	85	17	31.7	6.7	y	85	9.31	2.687	2.23	20	25	5.4	y	NA	14	12.2	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.74165738677394	2.50143595173921	1.25276296849537	4.47213595499958	3.2188758248682	1.68639895357023	4.12310562561766	3.45631668088323	1.90210752639692	2.23108909128898	0.988425329633354	0.802001585472027
CA007.2.d	18	17	CA007	2	d	inv	cont	CA007.2.d	85	15	22.4	6.5	n	85	8.59	4.132	4.682	16	24.5	4.6	y	NA	10	13.2	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.58021682959233	1.1314021114911	4	3.19867311755068	1.52605630349505	3.87298334620742	3.10906095886099	1.87180217690159	2.15059873599616	1.41876155125739	1.54372536906872
US001.22.a	18	18	US001	22	a	inv	cont	US001.22.a	85	20	31.2	4.6	n	85	9.24	4.812	5.235	17	25.6	5.9	y	NA	12	13.4	2.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.59525470695687	0.955511445027436	4.12310562561766	3.24259235148552	1.77495235091167	4.47213595499958	3.44041809481544	1.52605630349505	2.22354188565359	1.57111279811243	1.6553668443225
UA002.15.j	18	21	UA002	15	j	nat	cont	UA002.15.j	85	19	34.5	7	n	85	9.37	4.141	3.924	19	29.1	8.1	n	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			NA	NA	NA	4.35889894354067	3.37073817417745	2.09186406167839	4.35889894354067	3.54095932403731	1.94591014905531	2.23751309625033	1.42093730456343	1.36711154170312
BG001.17.d	18	23	BG001	17	d	nat	cont	BG001.17.d	85	17	19.8	3.3	n	85	6.26	1.658	2.325	22	14.9	3	y	NA	12	9.5	2.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.2512917986065	0.8754687373539	4.69041575982343	2.70136121295141	1.09861228866811	4.12310562561766	2.98568193770049	1.19392246847243	1.83418018511201	0.505612056713103	0.84372003903932
RO002.15.b	18	26	RO002	15	b	nat	cont	RO002.15.b	85	1	13.8	1.5	y	85	7.9	1.288	0.646	15	28.2	4.8	y	NA	12	14.6	3.1		69	NA	NA	NA	NA	NA	NA	69	1	33		NA			3.46410161513775	2.68102152871429	1.1314021114911	3.87298334620742	3.33932197794407	1.56861591791385	1	2.62466859216316	0.405465108108164	2.06686275947298	0.253090627682162	-0.436955775199535
RU001.7.c	18	30	RU001	7	c	nat	cont	RU001.7.c	85	14	24.5	5.1	n	85	6.21	3.172	1.67	18	23.8	5.9	y	NA	11	15.6	5.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.74727091425549	1.62924053973028	4.24264068711928	3.16968558067743	1.77495235091167	3.74165738677394	3.19867311755068	1.62924053973028	1.82616089594539	1.1543623037726	0.512823626428664
RO005.15.h	18	31	RO005	15	h	nat	cont	RO005.15.h	85	25	21.2	4.5	n	85	9.75	3.833	3.301	17	20.8	4.2	n	NA	8	11	2.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.39789527279837	0.8754687373539	4.12310562561766	3.03495298670727	1.43508452528932	5	3.05400118167797	1.50407739677627	2.27726728500976	1.34364778639842	1.19422545287106
US002.17.a	18	33	US002	17	a	inv	cont	US002.17.a	85	17	27	5.4	n	85	8.16	3.789	4.244	15	22.5	4.7	y	NA	14	16.1	3.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.74165738677394	2.77881927199042	1.16315080980568	3.87298334620742	3.11351530921037	1.54756250871601	4.12310562561766	3.29583686600433	1.68639895357023	2.09924416897602	1.33210213203646	1.44550622075174
RO001.12.e	18	34	RO001	12	e	nat	cont	RO001.12.e	85	17	25.4	6.2	n	85	7.6	2.628	2.176	18	20.1	3.4	y	NA	11	16.6	3.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.8094026953625	1.22377543162212	4.24264068711928	3.00071981506503	1.22377543162212	4.12310562561766	3.23474917402449	1.82454929205105	2.02814824729229	0.966223100622364	0.777488328993696
