Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
US011.8.b	11	15	US011	8	b	inv	cut	14	NA	NA	n	NA
US020.27.b	11	17	US020	27	b	inv	cut	18	NA	NA	n	NA
TR001.10.h	11	20	TR001	10	h	nat	cut	14	NA	NA	n	NA
GR002.2.j	11	23	GR002	2	j	nat	cut	20	NA	NA	n	13.7
US002.24.b	11	24	US002	24	b	inv	cut	19	NA	NA	n	NA
UA005.3.b	11	25	UA005	3	b	nat	cut	18	NA	NA	n	NA
RU005.11.e	11	26	RU005	11	e	nat	cut	21	NA	NA	n	NA
US003.6.i	11	27	US003	6	i	inv	cut	14	NA	NA	n	NA
US012.31.f	11	29	US012	31	f	inv	cut	15	NA	NA	n	NA
RO004.20.d	11	30	RO004	20	d	nat	cut	20	NA	NA	n	NA
RO002.22.f	11	32	RO002	22	f	nat	cut	16	NA	NA	n	NA
RO003.11.e	11	34	RO003	11	e	nat	cut	20	NA	NA	n	NA
US014.17.c	11	35	US014	17	c	inv	cut	15	NA	NA	n	NA
US018.31.a	11	36	US018	31	a	inv	cut	17	NA	NA	n	NA
US015.3.k	11	37	US015	3	k	inv	cut	18	NA	NA	n	NA
UA006.14.b	11	38	UA006	14	b	nat	cut	14	NA	NA	y	NA
RO001.21.d	11	39	RO001	21	d	nat	cut	16	NA	NA	n	NA
UA001.22.c	11	41	UA001	22	c	nat	cut	19	NA	NA	 n	NA
CA008.5.a	11	43	CA008	5	a	inv	cut	28	NA	NA	n	NA
US026.24.c	11	45	US026	24	c	inv	cut	15	NA	NA	n	NA
TR004.2.b	11	47	TR004	2	b	nat	cut	11	NA	NA	n	NA
BG001.25.e	11	48	BG001	25	e	nat	cut	16	NA	NA	n	NA
GR001.26.c	11	49	GR001	26	c	nat	cut	14	NA	NA	n	NA
UA004.5.a	11	50	UA004	5	a	nat	cut	18	NA	NA	n	NA
GR003.12.j	12	1	GR003	12	j	nat	control	12	24.1	3.4	n	NA
UA006.22.a	12	2	UA006	22	a	nat	control	14	29	6.1	y	NA
TR001.1.d	12	7	TR001	1	d	nat	control	16	27.1	5.7	y	NA
RO004.13.a	12	9	RO004	13	a	nat	control	17	21.6	4.1	y	NA
UA001.25.c	12	10	UA001	25	c	nat	control	19	21.7	4.8	y	NA
BG001.16.b	12	11	BG001	16	b	nat	control	15	19.6	4.1	y	NA
TR005.18.h	12	13	TR005	18	h	nat	control	11	29.5	7.7	y	NA
UA005.18.d	12	14	UA005	18	d	nat	control	16	31.7	6.9	y	NA
US011.8.k	12	15	US011	8	k	inv	control	13	24.5	4.3	n	NA
UA003.9A.d	12	16	UA003	9A	d	nat	control	13	31	10.2	y	NA
RO003.21.b	12	17	RO003	21	b	nat	control	15	22.4	4.6	y	NA
US014.4.d	12	18	US014	4	d	inv	control	9	26	4.1	y	NA
RO001.12.a	12	20	RO001	12	a	nat	control	13	21.2	5.7	y	NA
US015.15.e	12	23	US015	15	e	inv	control	12	26.4	6.6	n	NA
TR004.27.b	12	26	TR004	27	b	nat	control	15	17	4.6	y	NA
US001.20.j	12	27	US001	20	j	inv	control	14	22.4	4.4	y	NA
GR001.28.b	12	29	GR001	28	b	nat	control	8	18.3	2.6	y	NA
UA004.27.h	12	30	UA004	27	h	nat	control	16	15.5	3.7	y	NA
CA001.7.i	12	32	CA001	7	i	inv	control	14	21	4.9	y	NA
US002.5.c	12	33	US002	5	c	inv	control	15	25.2	4.4	n	NA
US023.34.k	12	34	US023	34	k	inv	control	16	23.3	7.1	y	NA
RU001.9.d	12	35	RU001	9	d	nat	control	16	20.4	6.6	y	NA
RU008.18.d	12	36	RU008	18	d	nat	control	11	22.4	6.8	n	NA
TR003.14.b	12	37	TR003	14	b	nat	control	19	18.1	2.7	y	NA
HU001.5.a	12	38	HU001	5	a	nat	control	9	22.9	3.6	y	NA
RU005.11.a	12	39	RU005	11	a	nat	control	56	20	3.1	y	NA
GR002.17.f	12	40	GR002	17	f	nat	control	13	26.4	3.4	n	NA
US012.28.b	12	41	US012	28	b	inv	control	9	21.2	5.6	n	NA
US003.19.a	12	42	US003	19	a	inv	control	15	21	5	n	NA
RO005.14.e	12	43	RO005	14	e	nat	control	17	19.3	4.6	y	NA
CA008.2.b	12	45	CA008	2	b	inv	control	18	24.2	5.5	y	NA
US022.17.a	12	47	US022	17	a	inv	control	17	21	4.6	y	NA
RO002.15.c	12	48	RO002	15	c	nat	control	13	13.3	4.4	y	NA
RU002.1.d	12	49	RU002	1	d	nat	control	22	22	3.7	y	NA
TR003.24.f	13	1	TR003	24	f	nat	nut def	17	10.3	2	y	NA
TR001.10.c	13	2	TR001	10	c	nat	nut def	13	19.5	4.3	y	NA
RO002.12.d	13	4	RO002	12	d	nat	nut def	12	15.9	3.6	y	NA
CA001.4.c	13	5	CA001	4	c	inv	nut def	16	14.1	4.5	y	NA
TR005.18.f	13	8	TR005	18	f	nat	nut def	8	13.1	3.1	y	NA
UA002.15.c	13	9	UA002	15	c	nat	nut def	10	17.3	3.5	y	NA
